DATE,HOUR,TAVG,PREC,RHAVG,RAD,W_INT_AVG
1999-03-15,2,-0.8,0,89.9,0.0,0.3
1999-03-15,3,0.8,0,86.1,0.0,1.4
1999-03-15,4,0.1,0,88,0.0,0.8
1999-03-15,5,-1.1,0,91.9,0.1,0.4
1999-03-15,6,-1.8,0,94,0.5,0.3
1999-03-15,7,-1.9,0,93.6,49.9,0.3
1999-03-15,8,1.9,0,76.7,211.2,0.3
1999-03-15,9,5.4,0,65,370.8,0.5
1999-03-15,10,8,0,54.1,506.7,0.2
1999-03-15,11,9.3,0,47.8,609.5,0.9
1999-03-15,12,9.3,0,48.2,669.8,1.6
1999-03-15,13,8.8,0,48.5,634.6,3.0
1999-03-15,14,8.7,0,48.6,495.2,3.1
1999-03-15,15,8.9,0,47.8,422.5,3.1
1999-03-15,16,8.4,0,49.8,249.4,3.1
1999-03-15,17,7.8,0,52.4,100.1,2.7
1999-03-15,18,6.8,0,56.9,23.6,1.8
1999-03-15,19,5.6,0,61.4,0.1,0.7
1999-03-15,20,4.9,0,62.4,0.0,1.6
1999-03-15,21,4,1,70.1,0.0,3.9
1999-03-15,22,1.5,2,90,0.0,3.9
1999-03-15,23,0.8,2,93.1,0.0,5.4
1999-03-16,0,0.6,0,92.5,0.0,6.1
1999-03-16,1,-0.1,0,94.3,0.0,6.2
1999-03-16,2,-0.2,0,96.1,0.0,5.5
1999-03-16,3,0,0,93.1,0.0,5.2
1999-03-16,4,-0.2,0,92.3,0.0,6.0
1999-03-16,5,-0.4,0,92.8,0.0,6.1
1999-03-16,6,-0.9,0,94.4,0.1,6.9
1999-03-16,7,-1.5,0,95.6,7.1,6.8
1999-03-16,8,-1.7,0,92,89.7,7.3
1999-03-16,9,-1.4,0,81.2,248.9,7.5
1999-03-16,10,-0.5,1,68.1,550.5,7.7
1999-03-16,11,0.3,0,60.5,579.5,8.2
1999-03-16,12,1.1,0,56.6,588.8,7.6
1999-03-16,13,2,0,51.7,608.8,7.3
1999-03-16,14,2.4,0,46.9,453.1,6.6
1999-03-16,15,3.1,0,42.4,521.8,6.1
1999-03-16,16,3.7,0,37.9,393.9,4.9
1999-03-16,17,3.8,0,37.6,204.6,3.6
1999-03-16,18,3,0,41.2,42.8,2.2
1999-03-16,19,-0.2,0,61,0.1,0.4
1999-03-16,20,-2.1,0,76.2,0.1,0.8
1999-03-16,21,-2.8,0,79.7,0.1,0.9
1999-03-16,22,-3.4,0,80.3,0.0,0.8
1999-03-16,23,-3.7,0,81.7,0.0,0.3
1999-03-17,0,-3.3,0,80.6,0.0,0.3
1999-03-17,1,-2.7,0,79,0.0,0.9
1999-03-17,2,-2.2,0,76.4,0.0,2.3
1999-03-17,3,-2.3,0,76,0.0,2.7
1999-03-17,4,-2.6,0,77.2,0.0,2.2
1999-03-17,5,-3,0,79.4,0.1,1.4
1999-03-17,6,-2.3,0,73.9,0.5,2.8
1999-03-17,7,-2,0,69,32.3,2.3
1999-03-17,8,-1.1,0,65.1,116.9,2.5
1999-03-17,9,0.5,0,56.4,242.8,2.0
1999-03-17,10,2.7,0,43.8,511.4,3.1
1999-03-17,11,4.2,0,38.8,578.1,3.4
1999-03-17,12,5.1,0,39,429.8,2.7
1999-03-17,13,6,0,38,325.9,1.3
1999-03-17,14,6.2,0,38.1,239.7,1.8
1999-03-17,15,6.7,0,36.4,222.5,1.5
1999-03-17,16,6.7,0,37.6,108.6,1.5
1999-03-17,17,6.3,0,43.1,51.3,1.2
1999-03-17,18,5.1,0,53.6,12.5,1.0
1999-03-17,19,3.7,0,63.3,0.1,0.7
1999-03-17,20,2.8,0,66.6,0.0,0.5
1999-03-17,21,1.3,0,70.5,0.0,0.6
1999-03-17,22,0.4,0,74.1,0.0,0.5
1999-03-17,23,0.6,0,72.1,0.0,0.4
1999-03-18,0,0,0,74.8,0.0,0.7
1999-03-18,1,0.1,0,74.2,0.0,0.7
1999-03-18,2,1.9,0,63.5,0.0,0.8
1999-03-18,3,1.6,0,66.4,0.0,1.0
1999-03-18,4,1.8,0,62.1,0.0,0.6
1999-03-18,5,0.8,0,66.3,0.0,0.7
1999-03-18,6,0.1,0,69.1,1.1,0.2
1999-03-18,7,1.3,0,65.2,47.1,0.6
1999-03-18,8,3.9,0,56.9,127.2,0.6
1999-03-18,9,5.3,0,49.8,148.9,0.5
1999-03-18,10,5.4,0,55.4,265.4,1.7
1999-03-18,11,7.2,0,48.7,346.6,1.4
1999-03-18,12,8.9,0,45.1,451.8,1.4
1999-03-18,13,11.4,0,41.9,487.6,1.3
1999-03-18,14,12.4,0,41.1,417.2,1.4
1999-03-18,15,13,0,42.5,310.2,1.0
1999-03-18,16,12.7,0,44.9,108.0,1.1
1999-03-18,17,11.2,0,50,54.4,0.3
1999-03-18,18,8.2,0,59,12.5,0.3
1999-03-18,19,6.2,0,62.7,0.2,0.2
1999-03-18,20,5.1,0,66.1,0.0,0.3
1999-03-18,21,4,0,69.7,0.0,0.3
1999-03-18,22,3.6,0,71.3,0.0,0.2
1999-03-18,23,3.2,0,74.2,0.0,0.2
1999-03-19,0,2.7,0,76.9,0.0,0.5
1999-03-19,1,2,0,80.2,0.0,0.3
1999-03-19,2,1.3,0,83.8,0.0,0.2
1999-03-19,3,0.6,0,85.9,0.0,0.2
1999-03-19,4,0,0,89.3,0.0,0.2
1999-03-19,5,-0.4,0,90.8,0.0,0.2
